PLC_NM,RN_ADDR,ENQU_NM,OPR_TIME_INFO,RPRS_TELNO,HMPG_URL,LA_VLUE,LO_VLUE
덕수공원반려견놀이터,경기도 고양시 덕양구 고양대로 1804-22 (동산동),고양시 농업정책과,화~일 10시~20시,031-8075-4606,,37.64141846,126.8792114
도래울반려견놀이터,경기도 고양시 덕양구 도내동 980,고양시 농업정책과,매일 8시~21시,031-8075-4606,,37.62680817,126.8742828
일산호수공원반려견놀이터,경기도 고양시 일산동구 노루목로 10 (장항동),고양시 농업정책과,06~21시,031-8075-4606,,37.64947128,126.7680817
광명시반려견놀이터,경기도 광명시 소하동 524,지역경제과 동물복지팀,상시개방,02-2627-2592,,37.4439888,126.8975372
광주시반려견놀이터,경기도 광주시 양벌동 1048-42,,상시개방,,,37.38947296,127.2508087
장자호수공원반려견놀이터,경기도 구리시 교문동 537,,화~일 10시~20시,,,37.5825386,127.1388016
태산패밀리파크 반려견놀이터,경기도 김포시 하성면 하성로 603-13,,화~일 09:00 ~ 18:00,,,37.72615814,126.6284943
부천 송내 반려견놀이터,경기도 부천시 소사구 송내동 249-9,,화~일 10시 ~ 20시,,,37.48778915,126.7459946
구미 탄천 반려견 놀이터,경기도 성남시 분당구 구미동 79,지역경제과 동물보호팀,상시개방,031-729-3288,,37.34248352,127.1184235
탄천반려견놀이터,경기도 성남시 분당구 삼평동 745,지역경제과 동물보호팀,상시개방,031-729-3288,,37.39835358,127.1184464
야탑 탄천 반려견 놀이터,경기도 성남시 분당구 야탑동 555,지역경제과 동물보호팀,,031-729-3288,,37.41468811,127.1207275
율동공원 반려견 놀이터,경기도 성남시 분당구 율동 산2-1,지역경제과 동물보호팀,화~일 10~20시,031-729-3288,,37.37902069,127.1493683
정자 탄천 반려견 놀이터,경기도 성남시 분당구 정자동 100-3,지역경제과 동물보호팀,상시개방,031-729-3288,,37.36877441,127.1090164
호매실동반려견놀이터,경기도 수원시 권선구 금곡로 188 (금곡동),수원시 공원과,매일 10:00 ~ 18:00 (12:00 ~ 13:00 휴게시간),031-228-4199,,37.27270889,126.9512024
올림픽공원반려견놀이터,경기도 수원시 권선구 효원로256번길 16 (권선동),수원시 공원과,화~일 10시~20시,031-228-4199,,37.26147461,127.0285797
광교호수공원애견놀이터,경기도 수원시 영통구 광교호수로 214 (하동),수원시 공원과,화~일 10시~22시,031-228-4199,,37.28351212,127.0772476
배곧한울공원반려동물놀이터,경기도 시흥시 해송십리로 61 (배곧동),,화~일 10시~19시,,,37.35398865,126.7018204
성곡반려견놀이터,경기도 안산시 단원구 성곡동 696,,화~일 09~19시,031-481-3647,,37.3235054,126.7366867
원포공원 반려견놀이터,경기도 안산시 단원구 원포공원로 53 (초지동),,수~월 10시 ~ 19시,,,37.30160904,126.8081207
양주시 반려견놀이터,경기도 양주시 월정로 15-1 (옥정동),,화~일 10시~19시 (마지막주 금요일 휴장),,,37.82419586,127.0759888
