FRNM_NM,RN_ADDR,OPR_TIME_INFO,RPRS_TELNO,HMPG_URL,LA_VLUE,LO_VLUE
119동물병원,대구광역시 달성군 다사읍 달구벌대로 893,월 10:00 - 19:00 | 화 10:00 - 19:00 | 수 10:00 - 19:00 | 목 10:00 - 19:00 | 금 10:00 - 19:00 | 토 09:30 - 13:00 | 일 정기휴무 (매주 일요일) | 12:00 - 14:00 휴게시간 | 12:00 - 14:00 휴게시간 | 12:00 - 14:00 휴게시간 | 12:00 - 14:00 휴게시간 | 12:00 - 14:00 휴게시간,053-585-1195,http://119animal.modoo.at/,35.85716248,128.4665375
21세기동물병원,서울특별시 영등포구 가마산로 584 (신길동),월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 19:00 | 일 정기휴무 (매주 일요일) | 12:30 - 13:30 휴게시간 | 12:30 - 13:30 휴게시간 | 12:30 - 13:30 휴게시간 | 12:30 - 13:30 휴게시간 | 12:30 - 13:30 휴게시간 | 12:30 - 13:30 휴게시간,02-749-6750,https://blog.naver.com/vetsj21,37.50400162,126.9211273
21세기동물병원,"부산광역시 북구 만덕대로102번길 34 (덕천동, 현송빌라)",월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 18:00 | 일 정보없음,051-365-0075,,35.21075821,129.0087891
21세기동물병원,전북특별자치도 전주시 덕진구 시천로 26 (송천동1가),,063-251-1015,,35.86157227,127.1149368
21세기동물병원,경기도 화성시 동탄솔빛로 48 (반송동),월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 18:00 | 일(8/25) 휴무 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간,0507-1302-3178,http://blog.naver.com/dvm28,37.19314957,127.0733795
21세기동물병원,전라남도 목포시 영산로 503-2 (상동),,061-279-0006,,34.81064606,126.4172745
21세기동물병원,대구광역시 동구 아양로 216 (효목동),월 10:00 - 19:00 | 화 10:00 - 19:00 | 수 10:00 - 19:00 | 목 10:00 - 19:00 | 금 10:00 - 19:00 | 토 10:00 - 14:00 | 일 정기휴무 (매주 일요일) | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간,053-959-0182,,35.88593674,128.6367645
24시 SNC 동물메디컬센터,서울특별시 강남구 논현로 416 (역삼동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1364-7583,http://www.sncamc.co.kr,37.49740982,127.0388794
24시 TLC동물의료센터,경기도 부천시 원미구 길주로 281 (중동),매일 00:00 - 24:00 ,032-323-2475,https://blog.naver.com/tlcamc,37.50380707,126.7741547
24시 UN동물의료센터,부산광역시 남구 수영로 221 (대연동),매일 00:00 - 24:00 | 12:30 - 14:00 휴게시간,051-624-2475,https://blog.naver.com/pcr39,35.13534164,129.0907593
24시 강서 젠틀리동물의료센터,경상남도 사천시 사남면 사천대로 1589-34,매일 00:00 - 24:00 | 13:00 - 14:30 휴게시간,02-2662-8111,https://blog.naver.com/fnrkwll,37.55904007,126.8200607
24시 굿케어동물의료센터,서울특별시 관악구 남부순환로 1861-2 (봉천동),매일 00:00 - 24:00 ,02-6956-2475,https://blog.naver.com/goodcare24,37.47999954,126.9568634
24시 글로리 동물병원,서울특별시 금천구 시흥대로 483 (독산동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1431-8576,https://blog.naver.com/gloryamc,37.47674561,126.8982544
24시 나음동물의료센터,경기도 고양시 일산동구 백마로 223 (장항동),매일 00:00 - 24:00 ,0507-1492-7975,https://naum24.modoo.at,37.65504456,126.7744751
24시 넬 동물의료센터,경기도 안양시 동안구 시민대로 312 (평촌동),매일 00:00 - 24:00 ,0507-1410-2144,http://www.nelamc.com/,37.39512253,126.9648895
24시 노아동물메디컬센터,광주광역시 동구 독립로 292 (대인동),매일 00:00 - 24:00 ,062-222-0075,http://noahamc.co.kr/,35.15679932,126.9131317
다올동물의료센터 망포점,경기도 수원시 영통구 덕영대로 1478 (망포동),매일 10:00 - 20:00 | 13:00 - 14:00 휴게시간 | 19:00 접수마감,0507-1478-0217,https://www.instagram.com/daol_ah,37.24516678,127.0524826
24시 당신의 동물의료센터,경기도 수원시 장안구 천천로 100 (천천동),매일 00:00 - 24:00 | 12:00 - 13:00 휴게시간,0507-1366-6575,http://pf.kakao.com/_exkBTK,37.30062485,126.9840012
24시 더원동물메디컬센터,전북 익산시 하나로12길 23 오투그란테 ,,042-623-8461,http://www.theonethemall.co.kr/,36.3572464,127.4331284
24시 더클래스 동물메디컬센터,"경기도 성남시 분당구 성남대로 275 (정자동, 삼성아데나팰리스아파트)",매일 00:00 - 24:00 ,0507-1448-7975,http://pf.kakao.com/_xlxfxcUxj,37.36088943,127.1076126
24시 더힐동물의료센터,서울특별시 용산구 독서당로 81-1 (한남동),월 09:00 - 21:00 | 화 09:00 - 21:00 | 수 09:00 - 21:00 | 목 09:00 - 21:00 | 금 09:00 - 21:00 | 토 00:00 - 24:00 | 일 00:00 - 24:00 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간,02-792-8275,https://blog.naver.com/thehillvmc,37.53462601,127.0095673
24시 동탄 이음동물의료센터,경기도 화성시 동탄대로6길 15 (산척동),매일 00:00 - 24:00 ,0507-1362-3513,http://www.eumamc.com/,37.16873932,127.108429
24시 동탄시티 동물의료센터,경기도 화성시 동탄지성로 126 (반송동),매일 00:00 - 24:00 | 12:00 - 13:00 휴게시간,0507-1362-7533,https://www.dtctamc.com,37.20935059,127.0618057
24시 로운동물의료센터,"경상남도 통영시 원문로 52 (북신동, 광우화목맨션)",매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1370-7594,https://blog.naver.com/rounamc1,37.53082275,126.8642349
